# Simulation 1 (Up to date)
# 874 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
19.332,2450.339,31.095,31.632
19.382,2451.881,30.598,31.142
19.432,2453.398,30.101,30.653
19.482,2454.891,29.605,30.164
19.532,2456.359,29.108,29.676
19.582,2457.802,28.612,29.188
19.632,2459.22,28.117,28.701
19.682,2460.613,27.621,28.215
19.732,2461.982,27.126,27.729
19.782,2463.326,26.631,27.244
19.832,2464.645,26.136,26.759
19.882,2465.94,25.641,26.275
19.932,2467.209,25.147,25.792
19.982,2468.454,24.653,25.309
20.032,2469.675,24.159,24.827
20.082,2470.87,23.666,24.345
20.132,2472.041,23.173,23.865
20.182,2473.188,22.68,23.385
20.232,2474.309,22.187,22.906
20.282,2475.406,21.694,22.428
20.332,2476.479,21.202,21.95
20.382,2477.526,20.71,21.474
20.432,2478.55,20.218,20.998
20.482,2479.548,19.726,20.523
20.532,2480.522,19.235,20.05
20.582,2481.472,18.744,19.577
20.632,2482.397,18.253,19.106
20.682,2483.297,17.762,18.635
20.732,2484.173,17.272,18.166
20.782,2485.024,16.781,17.699
20.832,2485.851,16.291,17.233
20.882,2486.653,15.801,16.768
20.932,2487.431,15.311,16.305
20.982,2488.184,14.821,15.844
21.032,2488.913,14.331,15.385
21.082,2489.617,13.842,14.928
21.132,2490.297,13.353,14.473
21.182,2490.953,12.865,14.02
21.232,2491.584,12.376,13.57
21.282,2492.19,11.888,13.123
21.332,2492.773,11.4,12.68
21.382,2493.33,10.912,12.239
21.432,2493.864,10.424,11.803
21.482,2494.373,9.937,11.371
21.532,2494.858,9.45,10.944
21.582,2495.318,8.963,10.522
21.632,2495.754,8.477,10.105
21.682,2496.166,7.991,9.696
21.732,2496.553,7.506,9.294
21.782,2496.916,7.02,8.9
21.832,2497.255,6.535,8.517
21.882,2497.57,6.049,8.144
21.932,2497.86,5.565,7.784
21.982,2498.126,5.08,7.438
22.032,2498.368,4.595,7.109
22.082,2498.586,4.111,6.798
22.132,2498.779,3.627,6.509
22.182,2498.948,3.143,6.244
22.232,2499.093,2.659,6.006
22.282,2499.214,2.177,5.798
22.332,2499.311,1.694,5.624
22.382,2499.384,1.212,5.488
22.432,2499.432,0.726,5.397
22.482,2499.456,0.24,5.348
# Event APOGEE occurred at t=22.532 seconds
22.532,2499.456,-0.246,5.342
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=22.533 seconds
22.582,2499.432,-0.731,5.38
22.587,2499.428,-0.78,7.231
23.087,2497.833,-5.599,8.585
23.531,2494.504,-9.384,11.081
23.821,2491.495,-11.415,12.729
24.099,2488.083,-13.081,14.011
24.371,2484.349,-14.426,15.144
24.671,2479.839,-15.644,16.125
24.998,2474.546,-16.676,17.009
25.383,2467.961,-17.574,17.764
25.864,2459.315,-18.317,18.451
26.364,2450.047,-18.757,18.825
26.864,2440.611,-18.987,19.032
27.364,2431.088,-19.104,19.134
27.864,2421.522,-19.162,19.182
28.364,2411.933,-19.193,19.196
28.864,2402.334,-19.204,19.206
29.364,2392.731,-19.206,19.206
29.864,2383.129,-19.201,19.202
30.364,2373.531,-19.193,19.197
30.864,2363.936,-19.186,19.186
31.364,2354.345,-19.177,19.178
31.864,2344.759,-19.169,19.169
32.364,2335.177,-19.159,19.16
32.864,2325.599,-19.15,19.15
33.364,2316.027,-19.141,19.141
33.864,2306.459,-19.131,19.132
34.364,2296.896,-19.122,19.122
34.864,2287.337,-19.112,19.113
35.364,2277.784,-19.103,19.103
35.864,2268.234,-19.094,19.094
36.364,2258.69,-19.085,19.085
36.864,2249.15,-19.075,19.077
37.364,2239.615,-19.065,19.068
37.864,2230.084,-19.057,19.057
38.364,2220.558,-19.048,19.048
38.864,2211.037,-19.039,19.039
39.364,2201.52,-19.029,19.031
39.864,2192.007,-19.02,19.02
40.364,2182.5,-19.011,19.012
40.864,2172.996,-19.002,19.003
41.364,2163.497,-18.993,18.994
41.864,2154.003,-18.985,18.985
42.364,2144.513,-18.975,18.976
42.864,2135.027,-18.966,18.967
43.364,2125.547,-18.957,18.959
43.864,2116.07,-18.948,18.949
44.364,2106.598,-18.94,18.94
44.864,2097.13,-18.931,18.931
45.364,2087.667,-18.922,18.923
45.864,2078.208,-18.913,18.914
46.364,2068.754,-18.904,18.905
46.864,2059.304,-18.896,18.896
47.364,2049.858,-18.887,18.888
47.864,2040.417,-18.878,18.878
48.364,2030.98,-18.869,18.87
48.864,2021.548,-18.861,18.861
49.364,2012.119,-18.852,18.852
49.864,2002.695,-18.844,18.844
50.364,1993.276,-18.834,18.836
50.864,1983.861,-18.826,18.826
51.364,1974.45,-18.817,18.817
51.864,1965.044,-18.808,18.808
52.364,1955.643,-18.799,18.799
52.864,1946.245,-18.79,18.79
53.364,1936.853,-18.781,18.781
53.864,1927.465,-18.772,18.772
54.364,1918.081,-18.763,18.763
54.864,1908.702,-18.754,18.754
55.364,1899.328,-18.744,18.745
55.864,1889.958,-18.734,18.737
56.364,1880.593,-18.726,18.726
56.864,1871.233,-18.717,18.717
57.364,1861.876,-18.709,18.709
57.864,1852.524,-18.699,18.701
58.364,1843.177,-18.691,18.691
58.864,1833.833,-18.682,18.682
59.364,1824.495,-18.672,18.674
59.864,1815.161,-18.664,18.664
60.364,1805.831,-18.656,18.656
60.864,1796.505,-18.646,18.648
61.364,1787.185,-18.637,18.639
61.864,1777.868,-18.628,18.63
62.364,1768.556,-18.62,18.62
62.864,1759.248,-18.612,18.612
63.364,1749.944,-18.603,18.604
63.864,1740.645,-18.595,18.595
64.364,1731.349,-18.586,18.586
64.864,1722.058,-18.578,18.578
65.364,1712.772,-18.569,18.569
65.864,1703.489,-18.561,18.561
66.364,1694.211,-18.552,18.552
66.864,1684.938,-18.541,18.546
67.364,1675.669,-18.534,18.534
67.864,1666.404,-18.526,18.526
68.364,1657.143,-18.518,18.518
68.864,1647.886,-18.509,18.51
69.364,1638.634,-18.501,18.501
69.864,1629.385,-18.493,18.493
70.364,1620.141,-18.484,18.485
70.864,1610.901,-18.476,18.476
71.364,1601.665,-18.468,18.468
71.864,1592.433,-18.459,18.459
72.364,1583.206,-18.451,18.451
72.864,1573.982,-18.443,18.443
73.364,1564.763,-18.434,18.435
73.864,1555.548,-18.426,18.426
74.364,1546.337,-18.418,18.418
74.864,1537.13,-18.41,18.41
75.364,1527.928,-18.401,18.402
75.864,1518.729,-18.393,18.394
76.364,1509.534,-18.385,18.385
76.864,1500.344,-18.377,18.377
77.364,1491.158,-18.368,18.369
77.864,1481.976,-18.36,18.36
78.364,1472.798,-18.351,18.352
78.864,1463.625,-18.343,18.344
79.364,1454.456,-18.334,18.335
79.864,1445.291,-18.326,18.327
80.364,1436.13,-18.317,18.318
80.864,1426.973,-18.309,18.309
81.364,1417.821,-18.301,18.301
81.864,1408.672,-18.292,18.292
82.364,1399.529,-18.284,18.284
82.864,1390.389,-18.275,18.276
83.364,1381.254,-18.266,18.267
83.864,1372.122,-18.258,18.259
84.364,1362.996,-18.249,18.251
84.864,1353.873,-18.241,18.242
85.364,1344.754,-18.233,18.234
85.864,1335.64,-18.225,18.225
86.364,1326.529,-18.217,18.217
86.864,1317.423,-18.209,18.209
87.364,1308.321,-18.2,18.2
87.864,1299.223,-18.192,18.192
88.364,1290.129,-18.184,18.184
88.864,1281.039,-18.176,18.176
89.364,1271.953,-18.167,18.168
89.864,1262.872,-18.158,18.16
90.364,1253.795,-18.15,18.151
90.864,1244.722,-18.142,18.143
91.364,1235.652,-18.135,18.135
91.864,1226.587,-18.127,18.127
92.364,1217.526,-18.119,18.119
92.864,1208.469,-18.111,18.111
93.364,1199.415,-18.103,18.103
93.864,1190.366,-18.095,18.095
94.364,1181.321,-18.086,18.087
94.864,1172.28,-18.078,18.079
95.364,1163.243,-18.07,18.07
95.864,1154.21,-18.062,18.063
96.364,1145.181,-18.054,18.055
96.864,1136.156,-18.046,18.047
97.364,1127.134,-18.038,18.039
97.864,1118.117,-18.031,18.031
98.364,1109.104,-18.023,18.023
98.864,1100.094,-18.015,18.015
99.364,1091.089,-18.007,18.008
99.864,1082.087,-17.999,18
100.364,1073.09,-17.991,17.992
100.864,1064.096,-17.983,17.984
101.364,1055.106,-17.976,17.976
101.864,1046.12,-17.968,17.969
102.364,1037.138,-17.96,17.961
102.864,1028.16,-17.953,17.953
103.364,1019.185,-17.945,17.945
103.864,1010.215,-17.937,17.938
104.364,1001.248,-17.929,17.93
104.864,992.286,-17.92,17.924
105.364,983.328,-17.913,17.913
105.864,974.373,-17.906,17.906
106.364,965.422,-17.898,17.898
106.864,956.475,-17.89,17.89
107.364,947.532,-17.882,17.882
107.864,938.593,-17.874,17.874
108.364,929.658,-17.866,17.866
108.864,920.727,-17.858,17.859
109.364,911.8,-17.85,17.85
109.864,902.877,-17.841,17.843
110.364,893.958,-17.834,17.834
110.864,885.043,-17.826,17.826
111.364,876.132,-17.818,17.818
111.864,867.225,-17.81,17.811
112.364,858.322,-17.803,17.803
112.864,849.423,-17.795,17.795
113.364,840.527,-17.787,17.787
113.864,831.636,-17.779,17.78
114.364,822.748,-17.771,17.771
114.864,813.865,-17.764,17.764
115.364,804.985,-17.756,17.756
115.864,796.109,-17.748,17.748
116.364,787.237,-17.739,17.742
116.864,778.369,-17.732,17.732
117.364,769.505,-17.725,17.725
117.864,760.644,-17.717,17.717
118.364,751.787,-17.71,17.71
118.864,742.934,-17.702,17.702
119.364,734.085,-17.694,17.695
119.864,725.24,-17.687,17.687
120.364,716.399,-17.679,17.679
120.864,707.561,-17.671,17.672
121.364,698.728,-17.663,17.664
121.864,689.898,-17.656,17.656
122.364,681.072,-17.649,17.649
122.864,672.249,-17.641,17.642
123.364,663.43,-17.634,17.634
123.864,654.616,-17.626,17.627
124.364,645.804,-17.618,17.619
124.864,636.997,-17.611,17.611
125.364,628.193,-17.604,17.604
125.864,619.393,-17.596,17.597
126.364,610.597,-17.589,17.589
126.864,601.805,-17.581,17.582
127.364,593.016,-17.574,17.574
127.864,584.231,-17.567,17.567
128.364,575.449,-17.56,17.56
128.864,566.671,-17.552,17.552
129.364,557.897,-17.545,17.545
129.864,549.126,-17.537,17.538
130.364,540.359,-17.53,17.531
130.864,531.596,-17.523,17.523
131.364,522.837,-17.515,17.516
131.864,514.081,-17.508,17.508
132.364,505.329,-17.501,17.501
132.864,496.58,-17.494,17.494
133.364,487.835,-17.487,17.487
133.864,479.093,-17.479,17.479
134.364,470.355,-17.472,17.472
134.864,461.621,-17.464,17.464
135.364,452.891,-17.457,17.457
135.864,444.165,-17.449,17.449
136.364,435.442,-17.442,17.442
136.864,426.723,-17.434,17.434
137.364,418.008,-17.426,17.427
137.864,409.296,-17.419,17.419
138.364,400.589,-17.411,17.412
138.864,391.885,-17.404,17.404
139.364,383.185,-17.395,17.398
139.864,374.489,-17.388,17.389
140.364,365.797,-17.381,17.382
140.864,357.108,-17.374,17.374
141.364,348.423,-17.367,17.367
141.864,339.741,-17.36,17.36
142.364,331.063,-17.352,17.352
142.864,322.389,-17.345,17.345
143.364,313.719,-17.337,17.338
143.864,305.052,-17.33,17.33
144.364,296.389,-17.323,17.323
144.864,287.729,-17.316,17.316
145.364,279.073,-17.308,17.308
145.864,270.421,-17.301,17.302
146.364,261.772,-17.293,17.294
146.864,253.128,-17.285,17.287
147.364,244.487,-17.279,17.279
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=147.365 seconds
147.864,235.849,-17.271,17.273
147.872,235.729,-16.771,16.772
147.873,235.704,-16.67,16.671
147.875,235.676,-16.561,16.562
147.876,235.648,-16.452,16.453
147.878,235.62,-16.342,16.343
147.88,235.591,-16.231,16.232
147.882,235.562,-16.12,16.121
147.884,235.532,-16.008,16.008
147.885,235.502,-15.895,15.896
147.887,235.472,-15.781,15.782
147.889,235.44,-15.667,15.667
147.891,235.409,-15.551,15.552
147.893,235.376,-15.435,15.436
147.896,235.344,-15.318,15.319
147.898,235.31,-15.201,15.201
147.9,235.276,-15.082,15.082
147.902,235.242,-14.963,14.963
147.905,235.206,-14.842,14.842
147.907,235.17,-14.721,14.721
147.91,235.134,-14.599,14.599
147.912,235.097,-14.475,14.475
147.915,235.058,-14.351,14.351
147.918,235.02,-14.226,14.226
147.92,234.98,-14.099,14.1
147.923,234.939,-13.972,13.972
147.926,234.898,-13.844,13.844
147.929,234.856,-13.714,13.714
147.932,234.812,-13.583,13.583
147.936,234.768,-13.451,13.451
147.939,234.723,-13.318,13.318
147.943,234.676,-13.184,13.184
147.946,234.629,-13.048,13.048
147.95,234.58,-12.911,12.911
147.954,234.529,-12.773,12.773
147.958,234.478,-12.633,12.633
147.962,234.425,-12.492,12.492
147.967,234.371,-12.35,12.35
147.971,234.314,-12.206,12.206
147.976,234.257,-12.06,12.06
147.981,234.197,-11.913,11.913
147.986,234.136,-11.764,11.764
147.992,234.072,-11.613,11.613
147.997,234.007,-11.461,11.461
148.003,233.939,-11.307,11.307
148.009,233.868,-11.151,11.151
148.016,233.795,-10.993,10.993
148.023,233.719,-10.833,10.833
148.03,233.64,-10.671,10.671
148.038,233.558,-10.506,10.506
148.046,233.472,-10.34,10.34
148.055,233.381,-10.171,10.171
148.065,233.287,-10,10
148.075,233.188,-9.827,9.827
148.085,233.083,-9.651,9.651
148.097,232.973,-9.472,9.472
148.109,232.856,-9.291,9.291
148.123,232.731,-9.107,9.107
148.138,232.599,-8.92,8.92
148.154,232.457,-8.73,8.73
148.171,232.303,-8.537,8.538
148.191,232.139,-8.343,8.343
148.213,231.96,-8.146,8.146
148.237,231.762,-7.944,7.944
148.265,231.543,-7.739,7.739
148.297,231.298,-7.532,7.532
148.335,231.02,-7.323,7.323
148.379,230.702,-7.113,7.113
148.432,230.327,-6.903,6.903
148.498,229.878,-6.696,6.696
148.585,229.308,-6.491,6.491
